current_location,current_work,previous_work,latest_Education,majro,search_school,major
"New York, New York, United States",Chief Investment Officer at Pritzker Family Foundations,Founder and Chief Investment Officer at Idyllic Partners,Brown University,Business Economics and Psychology,Brown University,
"Bellevue, Washington, United States",Managing Director and Founder / Strategy and Management Consulting (IOT and Connected Systems) at Vision Consulting,"Senior Client Partner / Director  at DMI (Digital Management, LLC)",Rensselaer Polytechnic Institute,Manufacturing System Management,Brown University,
"New York, New York, United States",Founder at Arktos Capital LLC,Member Board Of Directors at Wellpower,2011–2015,Biology,Brown University,
"San Francisco, California, United States",Senior Director Business Operations at LinkedIn,Senior Director Corporate Development & Strategy at Asurion,University of Pennsylvania - The Wharton School,General Management,Brown University,
"San Francisco, California, United States",Head of Product at NexHealth,Director of Product at Redfin,Brown University,"Computer Science, Science & Society",Brown University,
"Carrollton, Texas, United States",Contributing Author at Forbes Technology Council,"CEO at Heymann Group, Inc",1981–1982,"Economics, Management",Brown University,
New York City Metropolitan Area,Executive Vice President Corporate Operations at Crestron Electronics,Vice President Global Real Estate & Workplace Services at Crestron Electronics,Southern Methodist University - Cox School of Business,Construction Management,Brown University,
New York City Metropolitan Area,"VP of Marketing | eCommerce, Qunol brand at Qunol / MK",Ecommerce Director - USA at Colgate-Palmolive,The Wharton School,Marketing and Health Care Management,Brown University,
"Fort Myers, Florida, United States",Chief Strategy and Innovation Officer at Lee Health,"VP, Head of Strategy & Innovation at Lee Health",Georgetown University McDonough School of Business,AARP AgL Leadership Program,Brown University,
"Berkeley, California, United States",Chief Data Officer at University of Wisconsin-Madison,"Director, Higher Education Strategy and Operations at Huron Consulting Group",UC Berkeley Extension,"Business Administration and Management, General",Brown University,
"Lexington, Massachusetts, United States",Chief Executive Officer at Riveting Results,Superintendent of Schools at Wayland Public Schools,Yale University,History,Brown University,
"Boston, Massachusetts, United States",Venture Partner at NextGen Venture Partners,Founder & Consultant at Ad Astra,Brown University,,Brown University,
Jakarta Metropolitan Area,Co-Founder & CEO at Kerja.io,Product Manager at Kargo Technologies,Brown University,"Political Science, Certificate in Entrepreneurship",Brown University,
United States,CEO and Managing Partner at Nixon Peabody LLP,Health Care Law and Insurance Law Partner; Business and Finance Department Head at Nixon Peabody LLP,Marquette University Law School,Law,Brown University,
"Franklin, Massachusetts, United States","Director, Insights Analytics & Media at The Boston Beer Company","Senior Director, Insights & Analytics at Hasbro",Brown University,Sociology,Brown University,
"New York, New York, United States",Co-Founder and Senior Director at Direct Air Capture Coalition,"Senior Specialist,  Regulatory Strategy and Stakeholder Engagement, Energy Efficiency at Con Edison",Brown University,History and Public Policy & American Institutions,Brown University,
"New York, New York, United States","COO, Creative Director at Prose Media",Assistant Managing Editor at Odyssey,The New School,Literary Studies (Writing concentration),Brown University,
"Pittsburgh, Pennsylvania, United States",,"Chief Executive Officer at VSMPO-Tirus, US",Brown University,,Brown University,
"New York, New York, United States",Executive Vice President - Chief Risk Officer at ConnectOne Bank,"Director - Enterprise Risk and Strategic Initiatives, Head of Operational Risk at OnDeck",1995–1999,Mechanical Engineering,Brown University,
"Chatham, New Jersey, United States",Founder at HyperFog,,Tufts University School of Medicine,Medicine,Brown University,
United Arab Emirates,Founder & CEO at Aliph Capital,Member of the Board of Directors at TIm Hortons Middle East,1997–2001,Neuroscience & Business Economics,Brown University,
"Tres Cantos, Community of Madrid, Spain",Chief Executive Officer at Ommatidia LIDAR,"Chief Operations Officer at MedLumics, S.L.",Brown University,Business,Brown University,
Greater Paris Metropolitan Region,Co-founder and Managing Director at Entertainment Learning,President at Vivendi Games Mobile,London Business School,Management,Brown University,
"San Francisco, California, United States",Senior Engineering Manager - Synthetic Data at Meta,Founder at AI. Reverie,Brown University,Computer Science,Brown University,
"North Vancouver, British Columbia, Canada",Founder and CEEO at AMNIe.org,Principal Director - Financial Services and Clean Innovation at Accenture,Competent Boards Certificate Program,Business - joint with Brown University,Brown University,
New York City Metropolitan Area,Vice President of Development and Philanthropic Services at Fairfield County's Community Foundation,Vice President of Programs at Fairfield County's Community Foundation,Brown University,Public Policy and Women's Studies,Brown University,
Washington DC-Baltimore Area,Partner at King & Spalding,Corporate Counsel at Northrop Grumman,Boston College Law School,Biomedical Ethics & Judaic Studies,Brown University,
"Falls Church, Virginia, United States",Holistic Mouth Doctor and Certified Biological Dentist at Whole Health Dental Center,,Case Western Reserve University School of Dental Medicine,Dentistry,Brown University,
"New York, New York, United States",Managing Partner & Principal at The New England Consulting Group,Partner at PA Consulting,Brown University,English and American Literature,Brown University,
"New York, New York, United States",Head of Growth Marketing at Bokksu,"Senior Associate at Cohanzick Management, LLC",Brown University,Psychology and Public Policy,Brown University,
Washington DC-Baltimore Area,"Business Executive of Vitamins, Minerals, Supplements (VMS), Nestle Nutrition (Gerber) at Nestlé","Marketing Director, Household Innovation at Reckitt",Yale School of Management,"Marketing, Strategy",Brown University,
