current_location,current_work,previous_work,latest_Education,majro,search_school,major
Raleigh-Durham-Chapel Hill Area,"President, Certified Franchise Consultant at Grecky Franchise Consulting",Staff Writer at Franchise Dictionary Magazine,Brown University,Economics & Organizational Behavior,Brown University,
"San Francisco, California, United States",VP of Data Science at Sonoma Biotherapeutics,Head of Data Science and Bioinformatics at Engine Biosciences,"University of California, San Francisco",Biostatistics,Brown University,
"London, England, United Kingdom",Partner at Mosaic Ventures,Co-Founder at Uniform Teeth,Brown University,Economics (Honors + Magna Cum Laude),Brown University,
"New York, New York, United States",Partner at TCV,Vice President at New Mountain Capital,Brown University,Computer Science,Brown University,
"New York, New York, United States",Binance Crypto Exchange & DeFi Token at X-Meta.com / IHC,Crypto Business Development & Investor Relations at Blockchain Payments Company,Brown University,,Brown University,
"New York, New York, United States","Plastic Surgeon at Darren M. Smith, MD, PC",Plastic Surgeon at Private Practice,Brown University,Human Biology (Honors),Brown University,
United Kingdom,"Managing Director, Europe at Ripple",Digital & Fintech Segment Global Lead at Mastercard Data & Services,Harvard Business School,M.B.A.,Brown University,
"Mountain View, California, United States",Chief Technology Officer at Blue River Technology,VP of Engineering at Blue River Technology,1990–1995,Mechanical Engineering,Brown University,
"Boston, Massachusetts, United States",Co-Founder and CEO at Ten Percent Happier,Chief Technology Officer and Co-Founder at Zeo Inc.,Brown University,Computer Engineering,Brown University,
San Francisco Bay Area,CEO at Adentro,Head of Seller Growth at eBay,Georgetown University,Law,Brown University,
Dallas-Fort Worth Metroplex,Chief Operating Officer at Chess.com,"Director of Sales, Partnerships, Alliances (Americas) - Spot.io at NetApp",Stanford University Graduate School of Business,History,Brown University,
"Boston, Massachusetts, United States",Co-CEO and Co-founder at 3Play Media,"Co-founder, Chief Revenue Officer at 3Play Media",2007–2009,Entrepreneurship & Innovation,Brown University,
"Atlanta, Georgia, United States","Senior Vice President, Information Technology at The Home Depot","Chief Information Officer & SVP, eCommerce & Digital at Staples",Brown University,Computer Science,Brown University,
"Bellevue, Washington, United States",Chief Executive Officer at Savers | Value Village,Independent Consultant  at Consultant,1986–1988,Finance,Brown University,
Los Angeles Metropolitan Area,Hospital President at Dignity Health California Hospital Medical Center,Chief Executive Officer at NYC Health + Hospitals/Metropolitan,City University of New York-Baruch College,Health/Health Care Administration/Management,Brown University,
"Wilmington, Massachusetts, United States",CTO at Analog Devices,"VP, Communications Business Unit at Analog Devices",1986–1988,Electrical Engineering,Brown University,
"Boston, Massachusetts, United States",President & COO at OneUnited Bank,Senior Vice President at OneUnited Bank,+ 1 more,Economics,Brown University,
United States,Chief Technology Officer at Dream Exchange,AVP Enterprise Architect at Nasdaq,1983–1987,Electrical and Electronics Engineering,Brown University,
"San Francisco, California, United States",DIRECTOR - GROWTH MARKETING  at DoorDash,HEAD - PERFORMANCE MARKETING at Vudu - Movies & TV,Brown University,Chinese Language and East Asian Studies,Brown University,
"Orange County, California, United States",CIO at Santander Consumer USA,SVP Head of Wells Fargo Auto Technology at Wells Fargo,Education (same page),,Brown University,
"Buenos Aires, Buenos Aires Province, Argentina",CEO at 2NV SAS,GBS Country Leader Colombia at IBM,Universidad de Buenos Aires,Actuarial Sciences,Brown University,
"Brooklyn, New York, United States",Co-Founder at Magic Spoon,Co-CEO at Exo,Brown University,"Cognitive Neuroscience, English",Brown University,
Los Angeles Metropolitan Area,CEO at Money Crashers,Portfolio Group at Discovery Group,Education (same page),Economics,Brown University,
"Boston, Massachusetts, United States",Founder/CEO at Kodex,Counterterrorism at Federal Bureau of Investigation (FBI),Brown University,Innovation Management and Entrepreneurship,Brown University,
"East Orange, New Jersey, United States",Chief Executive Officer at Impact Consulting Enterprises,"Senior Vice President, Marketing & Communications at National Urban League",The Tuck School of Business at Dartmouth,Building a High-Performing Business,Brown University,
Los Angeles Metropolitan Area,Chief Operating Officer / Founding Partner at The Familie V2,Investment Associate at BAM Ventures,Brown University,Anthropology,Brown University,
"San Jose, California, United States","CTO, Emerging Markets at Adevinta","CTO, eBay Classifieds Group Emerging Markets at eBay",Brown University,Computer Science,Brown University,
"Ann Arbor, Michigan, United States",Co-Founder and CTO at PAXAFE,Product Lead at Toggle Health,Brown University,Bioengineering and Biomedical Engineering,Brown University,
"Menlo Park, California, United States",Co-Founder of Humu (People Science) at humu,People Analytics Manager at Google,Carnegie Mellon University,Behavioral Decision Research,Brown University,
"San Diego County, California, United States",President & COO at Phenix Salon Suites Franchising,Managing Partner at Paradigm Investment Group,Brown University,Business Economics/Organizational Behavior,Brown University,
"San Francisco, California, United States",CTO at Okera,Software Engineer at Databricks,Brown University,Computer Science,Brown University,
"Phoenix, Arizona, United States","Founder, CEO at Sprout Financial","Owner at SJC Holdings, LLC",Brown University,1) Business Economics 2) Organizational Behavior and Management,Brown University,
United States,Chief Executive Officer at ARInsights,"Head of Marketing, Salesforce Interaction Studio at Salesforce",Kellogg School of Management,"IT Management, Finance, Strategy",Brown University,
Singapore,"Head | Chief Operating Officer, Amobee at Singtel",Director at Singtel,Brown University,"Commerce, Organizations Entrepreneurship - Business Economics",Brown University,
Greater Phoenix Area,CEO at R3 Stem Cell,CEO at Crazy SEO,1997–2003,Orthopaedic Surgery Residency,Brown University,
San Francisco Bay Area,Co-Founder at Uncountable Inc,"Director of Data at Second Spectrum, Inc.",MIT,Computer Science,Brown University,
"New York, New York, United States",Founder at Yabla Inc.,,Brown University,Materials Science; American Studies,Brown University,
"New York, New York, United States",Founder at Perkies,"Venture Startup-Lab, Chosen Participant  at Brown University",Brown University,"Business, Entrepreneurship, and Organizations: Organizational Studies",Brown University,
"Brooklyn, New York, United States",Chief Operating Officer at Vital Strategies,"Senior Director, Community Health at NYU Lutheran",The Johns Hopkins Bloomberg School of Public Health,Environmental Health,Brown University,
"London, England, United Kingdom","COO Insights, IWSR & Wine Intelli at The IWSR",COO at Wine Intelligence Ltd,1999–2001,"Business, marketing, finance",Brown University,
Raleigh-Durham-Chapel Hill Area,COO & Founder at Global Recruiters Network of Chapel Hill,Licensed Real Estate Broker at Zephyr Real Estate,Brown University,"Development Studies, Comparative Literature",Brown University,
"New York, New York, United States","Managing Partner at Ziegler, Ziegler & Associates LLP",Chairman at V1 Jets International,1982–1985,Law,Brown University,
"Miami, Florida, United States",CEO at Network Capital,,Brown University,,Brown University,
"New York, New York, United States",Chief Executive Officer  at Flatiron Health,"SVP & GM, Flatiron HC at Flatiron Health",Kellogg School of Management,"Strategy, Finance, Entrepreneurship",Brown University,
"Penngrove, California, United States","CEO & Co-founder at Figma, Inc.",Product Design Intern at Flipboard Inc.,Brown University,Computer Science and Mathematics,Brown University,
"Malibu, California, United States",Chief Executive Officer at Ritual,Venture Partner at Atom Factory Inc.,Brown University,Applied Mathematics - Economics,Brown University,
Los Angeles Metropolitan Area,"Vice President, Strategy & Corporate Development at AmerisourceBergen","Executive Director, Enterprise Transformation at City of Hope",Brown University,Business Economics,Brown University,
"São Paulo, São Paulo, Brazil","CEO, Co-Founder at Sonoma Market","Founder, CEO at Sonoma",Brown University,Dual AB: International Relations and Political Economy / Latin American Studies,Brown University,
Greater Chicago Area,"President - Americas at Key Technology, Inc.","Co President at Key Technology, Inc.",Brown University,Modern American History,Brown University,
"Dallas, Texas, United States",Founder & CEO at AKLOS Health,Vice President - Commercial Real Estate Investing at Goldman Sachs,2008–2012,Economics,Brown University,
"Miami Beach, Florida, United States",Founder & CEO at Mood Health,Director at Juxtapose,Rhode Island School of Design,Industrial Design,Brown University,
"Los Angeles, California, United States",Chief Operating Officer at Fount,Data Science at BCG Digital Ventures,Brown University,,Brown University,
"Boston, Massachusetts, United States","Senior Director , Clinical Development at Radius Health, Inc.","Director, Clinical Development at Alexion Pharmaceuticals, Inc.",University of Arizona - Eller College of Management,"Business, Management and Marketing",Brown University,
"New York, New York, United States",Co-Founder & President at Skoop,"Account Executive at VTS, Inc.",Brown University,Psychology,Brown University,
"New York, New York, United States",Founder at Ghia,Head Of Retail and Offline Experiences  at Glossier,Brown University,Economics,Brown University,
Greater Boston,"SVP, Talent and Diversity at Schneider Electric","Vice President, Global Talent Development at BASF",Yale University - Yale School of Management,Strategy and Leadership,Brown University,
"New York, New York, United States",Head of Data Science / CTO Office at Bloomberg LP,Staff Research Scientist at Google,2005–2007,Computer Science,Brown University,
"San Francisco, California, United States","Director, Growth - Digital at Stitch Fix",Growth Marketing - Offline Media & Partnerships at Stitch Fix,University of Pennsylvania - The Wharton School,Entrepreneurial Studies,Brown University,
Washington DC-Baltimore Area,"Director Of Business Development at Andrew Davidson & Co., Inc. (AD&Co)",Director at Castleton Partners,Brown University,Business Economics / Organizational Behavior & Managment,Brown University,
"Copenhagen, Capital Region, Denmark",CEO and co-founder at UbiqiSense ApS,"Director, Optics solutions at AAC Technologies",Brown University,Diffractive optics,Brown University,
"New York, New York, United States",Senior Vice President at Skyward Specialty Insurance,Senior Vice President at QBE North America,1997–2002,Business Economica,Brown University,
"Cambridge, Massachusetts, United States",Chief Information Officer at Sprague Operating Resources LLC,"President at The Agrippa Works, Inc.",Cornell University,Classics,Brown University,
"New York, New York, United States","Founder, dtkResources at dtkResources",Principal at dtkResources,Brown University,Political Science,Brown University,
"New York, New York, United States",Founder at Studio Emily Weil,Founder at Superlative,Columbia Business School,Philosophy,Brown University,
Greater Chicago Area,"SVP, Chief Supply Chain Officer at Saxco International LLC",VP  of Supply Chain at Encore Repair Services,Education (same page),Economics,Brown University,
"Atlanta, Georgia, United States",Chief Financial Officer at Tricentis,Chief Financial Officer at QASymphony,1988–1990,Business,Brown University,
